iter	Passed	Remaining
0	155	155437
1	156	78099
2	157	52217
3	157	39266
4	158	31527
5	159	26352
6	159	22653
7	160	19880
8	160	17720
9	161	15995
10	162	14581
11	162	13401
12	163	12408
13	164	11556
14	164	10813
15	165	10162
16	165	9590
17	167	9110
18	167	8665
19	168	8257
20	169	7885
21	169	7545
22	170	7234
23	170	6949
24	171	6686
25	172	6445
26	172	6220
27	173	6011
28	173	5817
29	174	5636
30	174	5469
31	175	5311
32	176	5161
33	176	5021
34	177	4888
35	177	4763
36	178	4644
37	179	4532
38	179	4425
39	180	4323
40	180	4233
41	181	4150
42	182	4065
43	183	3983
44	184	3905
45	184	3828
46	185	3754
47	185	3683
48	186	3617
49	186	3552
50	187	3490
51	188	3430
52	188	3372
53	189	3316
54	189	3262
55	190	3210
56	191	3160
57	191	3112
58	192	3065
59	192	3020
60	193	2976
61	193	2934
62	194	2897
63	195	2860
64	196	2822
65	196	2785
66	197	2750
67	198	2715
68	198	2680
69	199	2646
70	199	2613
71	200	2581
72	200	2550
73	201	2519
74	201	2490
75	202	2461
76	202	2432
77	203	2405
78	204	2378
79	204	2352
80	205	2326
81	205	2302
82	205	2274
83	206	2251
84	206	2228
85	207	2205
86	208	2183
87	208	2161
88	209	2142
89	210	2125
90	210	2106
91	211	2087
92	212	2068
93	212	2050
94	213	2031
95	213	2013
96	214	1994
97	214	1977
98	215	1959
99	215	1943
100	216	1926
101	216	1909
102	217	1893
103	218	1879
104	218	1864
105	219	1849
106	219	1835
107	220	1820
108	221	1806
109	221	1792
110	222	1778
111	222	1765
112	223	1752
113	223	1739
114	224	1728
115	225	1717
116	225	1704
117	226	1692
118	227	1680
119	227	1668
120	228	1657
121	228	1644
122	229	1633
123	229	1622
124	230	1610
125	230	1600
126	231	1588
127	231	1578
128	232	1567
129	232	1557
130	233	1547
131	233	1537
132	234	1527
133	234	1517
134	235	1509
135	236	1500
136	236	1490
137	237	1482
138	237	1473
139	238	1464
140	239	1457
141	239	1448
142	240	1440
143	241	1433
144	241	1424
145	242	1416
146	242	1408
147	243	1400
148	243	1392
149	244	1384
150	244	1376
151	245	1369
152	245	1361
153	246	1354
154	247	1346
155	247	1339
156	248	1332
157	248	1324
158	249	1317
159	249	1310
160	250	1302
161	250	1296
162	251	1289
163	251	1282
164	252	1275
165	252	1269
166	253	1263
167	255	1264
168	255	1258
169	256	1252
170	257	1246
171	257	1240
172	258	1235
173	258	1229
174	259	1223
175	260	1217
176	260	1211
177	261	1206
178	261	1200
179	262	1194
180	262	1189
181	263	1183
182	263	1178
183	264	1173
184	265	1167
185	265	1162
186	266	1157
187	266	1152
188	267	1147
189	267	1142
190	268	1138
191	269	1134
192	270	1129
193	270	1125
194	271	1120
195	272	1116
196	272	1111
197	273	1106
198	273	1102
199	274	1097
200	274	1093
201	275	1088
202	276	1083
203	276	1079
204	277	1075
205	277	1070
206	278	1066
207	278	1062
208	279	1057
209	280	1053
210	280	1049
211	281	1045
212	281	1041
213	282	1037
214	283	1034
215	284	1031
216	284	1027
217	285	1023
218	285	1019
219	286	1015
220	287	1011
221	287	1008
222	288	1004
223	288	1000
224	289	996
225	289	992
226	290	989
227	291	985
228	291	981
229	292	978
230	292	974
231	293	970
232	293	967
233	294	963
234	294	960
235	295	956
236	296	953
237	296	949
238	297	946
239	297	942
240	298	940
241	299	938
242	300	934
243	300	931
244	301	928
245	301	925
246	302	921
247	302	918
248	303	915
249	303	911
250	304	908
251	305	905
252	305	902
253	306	898
254	306	895
255	307	892
256	307	889
257	308	886
258	308	883
259	309	880
260	309	877
261	310	874
262	310	870
263	311	867
264	311	864
265	312	861
266	313	859
267	313	857
268	314	854
269	315	852
270	315	849
271	316	846
272	316	843
273	317	841
274	317	838
275	318	835
276	319	832
277	319	830
278	320	827
279	320	824
280	321	821
281	321	819
282	322	816
283	322	813
284	323	811
285	323	808
286	324	805
287	324	803
288	325	800
289	326	798
290	326	795
291	327	793
292	328	792
293	329	790
294	330	788
295	330	786
296	331	784
297	331	781
298	332	779
299	333	777
300	333	775
301	334	772
302	334	770
303	335	767
304	336	765
305	336	763
306	337	761
307	337	758
308	338	756
309	338	754
310	339	751
311	339	749
312	340	747
313	341	745
314	341	743
315	342	741
316	343	740
317	344	738
318	344	735
319	345	733
320	345	731
321	346	729
322	346	727
323	347	725
324	348	722
325	348	720
326	349	718
327	349	716
328	350	714
329	350	712
330	351	710
331	351	707
332	352	705
333	352	703
334	353	701
335	353	699
336	354	697
337	355	695
338	355	693
339	356	691
340	356	689
341	357	687
342	357	685
343	358	683
344	359	682
345	359	680
346	360	678
347	361	676
348	361	674
349	362	672
350	362	670
351	363	668
352	363	667
353	364	665
354	364	663
355	365	661
356	365	659
357	366	657
358	367	655
359	367	653
360	368	651
361	368	649
362	369	647
363	369	646
364	370	644
365	370	642
366	371	640
367	372	639
368	372	637
369	373	636
370	374	635
371	375	633
372	376	632
373	376	630
374	377	629
375	378	627
376	378	626
377	379	624
378	380	622
379	380	621
380	381	619
381	382	618
382	382	616
383	383	614
384	384	613
385	384	611
386	385	610
387	386	608
388	387	608
389	388	607
390	388	605
391	389	604
392	390	602
393	390	600
394	391	599
395	391	597
396	392	595
397	392	594
398	393	592
399	393	590
400	394	589
401	395	587
402	395	586
403	396	584
404	396	582
405	397	581
406	397	579
407	398	578
408	399	576
409	399	575
410	400	573
411	402	574
412	403	572
413	403	571
414	404	570
415	404	568
416	405	566
417	406	565
418	406	564
419	407	562
420	408	561
421	408	559
422	409	558
423	409	556
424	410	555
425	411	553
426	411	552
427	412	550
428	412	549
429	413	547
430	413	546
431	414	544
432	415	543
433	415	542
434	416	541
435	417	539
436	418	538
437	418	537
438	419	535
439	419	534
440	420	532
441	421	531
442	421	530
443	422	528
444	422	527
445	423	525
446	423	524
447	424	522
448	424	521
449	425	519
450	425	518
451	426	517
452	426	515
453	427	514
454	428	512
455	428	511
456	429	509
457	429	508
458	430	507
459	432	507
460	432	506
461	433	504
462	434	503
463	434	502
464	435	500
465	435	499
466	436	497
467	436	496
468	437	495
469	438	494
470	438	492
471	439	491
472	439	489
473	440	488
474	440	487
475	441	485
476	441	484
477	442	483
478	443	481
479	443	480
480	444	479
481	444	477
482	445	476
483	446	475
484	447	474
485	447	473
486	448	472
487	448	471
488	449	469
489	450	468
490	450	467
491	451	465
492	451	464
493	452	463
494	452	462
495	453	460
496	454	459
497	454	458
498	455	456
499	455	455
500	456	454
501	456	453
502	457	451
503	457	450
504	458	449
505	459	448
506	459	446
507	460	446
508	461	445
509	462	444
510	462	442
511	463	441
512	464	440
513	464	439
514	465	438
515	465	436
516	466	435
517	466	434
518	467	433
519	468	432
520	468	430
521	469	429
522	469	428
523	470	427
524	470	426
525	471	424
526	471	423
527	472	422
528	473	421
529	473	420
530	474	418
531	474	417
532	475	416
533	476	415
534	477	414
535	477	413
536	478	412
537	478	411
538	479	410
539	480	408
540	480	407
541	481	406
542	481	405
543	482	404
544	482	403
545	483	402
546	484	400
547	484	399
548	485	398
549	485	397
550	486	396
551	486	395
552	487	394
553	488	392
554	488	391
555	489	390
556	490	389
557	490	388
558	491	387
559	492	386
560	492	385
561	493	384
562	493	383
563	494	382
564	495	381
565	495	380
566	496	378
567	496	377
568	497	376
569	497	375
570	498	374
571	499	373
572	499	372
573	500	371
574	500	370
575	501	369
576	501	367
577	502	366
578	503	365
579	503	364
580	504	363
581	504	362
582	505	361
583	506	360
584	507	359
585	507	358
586	508	357
587	509	356
588	509	355
589	510	354
590	511	353
591	511	352
592	512	351
593	513	350
594	513	349
595	514	348
596	514	347
597	515	346
598	515	345
599	516	344
600	517	343
601	517	342
602	518	341
603	518	340
604	519	339
605	520	338
606	521	337
607	521	336
608	522	335
609	523	334
